restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,Popularity Score
Float Brewery,"Microbrewery, Casual Dining",4.2,471,1800.0,Yes,Yes,"Bar Food, Asian, European, Mediterranean",Kammanahalli,Kalyan Nagar,1978.2
Flodeis,Dessert Parlor,3.4,10,300.0,Yes,No,"Desserts, Ice Cream, Beverages",Rajajinagar,Vijay Nagar,34.0
Floured-Baked With Love,"Takeaway, Delivery",3.8,45,400.0,No,No,Bakery,Banashankari,Banashankari,171.0
Flow - Terrace Bar & Grill,"Lounge, Bar",3.8,82,1000.0,No,No,"Pizza, Continental, North Indian, Chinese",Bannerghatta Road,JP Nagar,311.59999999999997
Fluffer Nutter,Quick Bites,2.8,40,200.0,No,No,Beverages,"Byresandra,Tavarekere,Madiwala",BTM,112.0
Flying Cakes,Bakery,3.1,15,500.0,Yes,No,"Bakery, Desserts",Bellandur,Sarjapur Road,46.5
FNC Seafood,Food Court,3.8,56,400.0,No,No,"Seafood, Fast Food",Koramangala 4th Block,Koramangala 7th Block,212.79999999999998
FNP Cakes N More,Delivery,2.8,40,700.0,No,No,Bakery,Basavanagudi,Wilson Garden,112.0
Fnp Cakes 'N' More,Bakery,2.8,40,150.0,No,No,Bakery,Malleshwaram,Malleshwaram,112.0
Fog City Cafe,Cafe,2.8,40,500.0,Yes,No,Fast Food,Indiranagar,Indiranagar,112.0
Fogg,Casual Dining,2.8,40,1000.0,No,Yes,"Continental, Italian, Beverages",Koramangala 4th Block,BTM,112.0
Folklore Restaurant,Casual Dining,3.2,263,450.0,Yes,No,"North Indian, South Indian, Kerala, Seafood",Sarjapur Road,Sarjapur Road,841.6
Food & Friends,Quick Bites,2.9,88,200.0,Yes,No,"Fast Food, Street Food",Malleshwaram,Rajajinagar,255.2
Food 4 U,Quick Bites,3.6,34,400.0,No,No,North Indian,Electronic City,Electronic City,122.4
FOOD ADDA,Quick Bites,3.2,4,200.0,No,No,Fast Food,Banashankari,Banashankari,12.8
Food And Biryani (FAB),"Takeaway, Delivery",2.8,21,500.0,No,No,"Biryani, North Indian, Mughlai",Whitefield,Whitefield,58.8
Food And You,Quick Bites,3.8,89,300.0,No,No,"North Indian, Gujarati","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,338.2
Food Box,Quick Bites,3.6,21,350.0,Yes,No,"Fast Food, Beverages",Frazer Town,Kammanahalli,75.60000000000001
Food Box Cafe,Casual Dining,3.6,36,500.0,No,No,"Mughlai, North Indian, Chinese",Banashankari,Banashankari,129.6
Food Box -The Taste Of Odisha,Quick Bites,3.2,4,350.0,No,No,"Chinese, Oriya, Bengali, North Indian",Marathahalli,Marathahalli,12.8
Food Club Restaurant,Casual Dining,3.7,45,500.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,166.5
Food Coma,Casual Dining,2.8,40,800.0,No,Yes,"Continental, Seafood, Biryani, Desserts, North Indian, Chinese, Bakery, Kebab",Indiranagar,Indiranagar,112.0
Food Corner,Quick Bites,3.3,7,250.0,No,No,"North Indian, Chinese, Fast Food",Frazer Town,RT Nagar,23.099999999999998
Food Court,Quick Bites,3.3,4,300.0,No,No,"South Indian, North Indian, Chinese, Street Food",Lavelle Road,Majestic,13.2
Food Dig,Quick Bites,3.5,13,150.0,No,No,North Indian,Whitefield,Whitefield,45.5
Food Factory,"Takeaway, Delivery",3.3,5,400.0,Yes,No,North Indian,Marathahalli,Marathahalli,16.5
Food Feast Multicusine Restaurant,Quick Bites,3.3,16,600.0,No,No,"North Indian, Chinese, Hyderabadi",Bannerghatta Road,Bannerghatta Road,52.8
Food Feed Restaurant,Casual Dining,3.7,29,750.0,No,No,"Arabian, Chinese, Kerala, North Indian",New BEL Road,New BEL Road,107.30000000000001
Food Geek,Quick Bites,3.8,25,350.0,Yes,No,"Sandwich, Fast Food, Rolls",Banashankari,Basavanagudi,95.0
Food Junction,Quick Bites,3.5,42,400.0,No,No,"North Indian, Chinese, Street Food, Biryani","Byresandra,Tavarekere,Madiwala",BTM,147.0
Food Ka Masti,Delivery,3.2,45,400.0,Yes,No,"North Indian, Chinese, South Indian",Bannerghatta Road,Bannerghatta Road,144.0
Food Lounge,Quick Bites,3.1,52,400.0,Yes,No,North Indian,New BEL Road,Yeshwantpur,161.20000000000002
Food Lover,Delivery,3.7,32,400.0,Yes,No,"North Indian, Chinese",Indiranagar,Indiranagar,118.4
Food Magic Restaurant,Quick Bites,3.8,88,400.0,Yes,No,"Kerala, North Indian, Chinese, Arabian",Kalyan Nagar,Kalyan Nagar,334.4
Food Memories,Quick Bites,3.3,5,200.0,No,No,Fast Food,Bannerghatta Road,Bannerghatta Road,16.5
Food Mingo,Quick Bites,3.0,4,450.0,Yes,No,"North Indian, Chinese",Brookefield,Marathahalli,12.0
Food Mood,Delivery,3.7,52,350.0,Yes,No,North Indian,Brookefield,Whitefield,192.4
Food N Joyy,Quick Bites,3.2,8,300.0,Yes,No,"Fast Food, Chinese, Street Food",Malleshwaram,RT Nagar,25.6
Food Of Punjab,Quick Bites,3.7,19,200.0,No,No,North Indian,Indiranagar,Ulsoor,70.3
Food Paradise,Quick Bites,3.3,12,500.0,No,No,"North Indian, Chinese, Bengali, Biryani",Whitefield,Whitefield,39.599999999999994
Food Planet,Quick Bites,3.1,5,400.0,No,No,"North Indian, Chinese, Kerala",Electronic City,Electronic City,15.5
Food Plaza,Quick Bites,2.8,40,150.0,No,No,"South Indian, North Indian, Chinese",Banashankari,Basavanagudi,112.0
Food Point,Casual Dining,3.2,167,450.0,No,No,North Indian,Brookefield,Whitefield,534.4
Food Point Family Restauarant,Casual Dining,3.3,6,700.0,Yes,No,"North Indian, Chinese, Mughlai",Electronic City,Electronic City,19.799999999999997
Food Ras,Casual Dining,4.3,1386,900.0,Yes,Yes,"North Indian, Chinese, Japanese, European, Seafood",Electronic City,Electronic City,5959.8
Food Republic Resto,Casual Dining,3.3,43,700.0,Yes,No,"North Indian, Chinese",JP Nagar,Kumaraswamy Layout,141.9
Food Singh,Delivery,2.8,40,500.0,No,No,North Indian,Whitefield,Whitefield,112.0
Food Springs,Quick Bites,4.0,232,400.0,Yes,No,"South Indian, Chinese",Banashankari,Jayanagar,928.0
Food Square,Quick Bites,3.2,4,250.0,Yes,No,"Chinese, Street Food, Rolls",Malleshwaram,Malleshwaram,12.8
Food Star,Casual Dining,3.2,16,500.0,No,No,"North Indian, Chinese",Kalyan Nagar,Kammanahalli,51.2
Food Theory,Delivery,2.5,58,500.0,No,No,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts","Byresandra,Tavarekere,Madiwala",HSR,145.0
Food Time Now,"Takeaway, Delivery",3.1,10,500.0,Yes,No,"North Indian, Mughlai, Biryani",Kalyan Nagar,Rammurthy Nagar,31.0
Food Town,Delivery,3.2,5,200.0,Yes,No,Chinese,MG Road,Indiranagar,16.0
Food Treat,Quick Bites,3.3,12,300.0,Yes,No,"North Indian, South Indian",Bellandur,Bellandur,39.599999999999994
Food Xpress,Quick Bites,3.4,10,400.0,No,No,"North Indian, South Indian, Biryani, Chinese",Whitefield,Whitefield,34.0
Food Zone,Quick Bites,3.4,308,300.0,Yes,No,"North Indian, Chinese",Brookefield,Marathahalli,1047.2
FoodandSnack.com,Delivery,3.3,8,500.0,No,No,"South Indian, North Indian",HSR,Bommanahalli,26.4
Foodbell,"Takeaway, Delivery",2.8,40,300.0,Yes,No,"North Indian, Chinese, Biryani",Bellandur,Sarjapur Road,112.0
Foodhall,Casual Dining,4.0,111,1000.0,Yes,No,"Italian, Bakery, Fast Food",Indiranagar,MG Road,444.0
Foodiction,Quick Bites,2.8,506,500.0,Yes,No,"North Indian, Fast Food, Chinese, Burger",Banashankari,Banashankari,1416.8
Foodie,Kiosk,2.9,35,300.0,No,No,"Chinese, Fast Food",Whitefield,Whitefield,101.5
Foodie Nation,Casual Dining,3.5,89,1000.0,Yes,Yes,"North Indian, Chinese, Arabian",Electronic City,Electronic City,311.5
Foodie's Affair,Quick Bites,3.5,22,400.0,Yes,No,"North Indian, Chinese",Kalyan Nagar,Nagawara,77.0
Foodies Choice,"Takeaway, Delivery",3.7,48,150.0,Yes,No,"Arabian, Chinese, Fast Food, Beverages",Kalyan Nagar,Nagawara,177.60000000000002
Foodies Club,Quick Bites,3.4,5,300.0,Yes,No,"South Indian, Chinese, North Indian, Sandwich, Rolls","Byresandra,Tavarekere,Madiwala",BTM,17.0
Foodies Delight,Quick Bites,3.8,178,400.0,Yes,No,"North Indian, Fast Food, Beverages",Brookefield,Whitefield,676.4
Foodies Express,Quick Bites,3.7,130,400.0,Yes,No,"Chinese, North Indian, Arabian, Biryani",Electronic City,Electronic City,481.0
Foodies Family Restaurant,Quick Bites,3.4,6,300.0,Yes,No,"North Indian, Chinese",Electronic City,Electronic City,20.4
Foodies Hub,Quick Bites,3.1,8,500.0,Yes,No,"North Indian, South Indian, Seafood",Bellandur,Sarjapur Road,24.8
Foodiesthan,Cafe,3.7,59,600.0,Yes,No,"Cafe, Fast Food, North Indian","Byresandra,Tavarekere,Madiwala",HSR,218.3
FoodIshq,Delivery,4.0,173,450.0,Yes,No,North Indian,Indiranagar,Kaggadasapura,692.0
Foodism,Delivery,4.1,319,300.0,Yes,No,"North Indian, Chinese",Brookefield,Marathahalli,1307.8999999999999
Foodizo,Quick Bites,3.6,24,300.0,Yes,No,"Desserts, Fast Food, Continental",Banashankari,Banashankari,86.4
Foodlieious Multi Cuisine,Quick Bites,2.8,40,100.0,No,No,North Indian,Banashankari,Banashankari,112.0
Foodmazic,Quick Bites,3.7,17,200.0,No,No,"BBQ, Beverages, Burger, Rolls, Tea",Marathahalli,Kaggadasapura,62.900000000000006
Foody Baba,Delivery,3.1,65,500.0,No,No,"North Indian, Chinese, Mughlai",Whitefield,Whitefield,201.5
Foody's,Quick Bites,3.8,169,250.0,Yes,No,"North Indian, South Indian",Church Street,Shanti Nagar,642.1999999999999
Foodys Adda,Quick Bites,3.2,4,300.0,No,No,Fast Food,HSR,Bommanahalli,12.8
Foody's Land,Quick Bites,2.8,40,300.0,Yes,No,Fast Food,Brookefield,Old Airport Road,112.0
Forage,Casual Dining,4.1,210,1500.0,No,Yes,"Healthy Food, Beverages, European, Salad",Indiranagar,Indiranagar,860.9999999999999
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Delivery,3.1,54,500.0,Yes,No,Continental,Brigade Road,Indiranagar,167.4
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Delivery,3.1,54,500.0,Yes,No,Continental,MG Road,Indiranagar,167.4
Fort Kochi,"Casual Dining, Bar",4.1,334,1800.0,No,Yes,"Kerala, Seafood",Indiranagar,MG Road,1369.3999999999999
Four Seasons Fast Food,Quick Bites,3.3,20,400.0,No,No,"North Indian, Chinese, Biryani",Malleshwaram,Malleshwaram,66.0
Four Seasons Fast Food Center,Quick Bites,3.7,136,400.0,Yes,No,"North Indian, Chinese, Biryani",Malleshwaram,Malleshwaram,503.20000000000005
Foxtail Rodeo,Food Truck,3.5,13,300.0,No,No,"Chinese, Street Food",HSR,South Bangalore,45.5
Foxtrot,"Pub, Casual Dining",4.4,1146,1200.0,Yes,Yes,"North Indian, Chinese, Continental, Momos",Bellandur,Marathahalli,5042.400000000001
Foxtrot - House of Subculture,"Cafe, Lounge",4.4,366,1000.0,No,Yes,"Cafe, American, Asian, North Indian",HSR,Koramangala 3rd Block,1610.4
Fragrant Kitchen,"Casual Dining, Cafe",3.7,110,700.0,No,No,"North Indian, Chinese, Cafe, Desserts",Kammanahalli,Kalyan Nagar,407.0
Freeze It,Dessert Parlor,3.5,35,300.0,Yes,No,Ice Cream,Basavanagudi,Jayanagar,122.5
French Bake House,Bakery,3.7,91,200.0,Yes,No,"Bakery, French, Fast Food",Electronic City,Electronic City,336.7
French Bakery,Delivery,3.3,7,250.0,No,No,"Desserts, Bakery, Beverages","Byresandra,Tavarekere,Madiwala",BTM,23.099999999999998
Fresh Aahar,Quick Bites,3.9,37,400.0,Yes,No,"Biryani, Mangalorean, Kerala",Indiranagar,Indiranagar,144.29999999999998
Fresh Berriz,Beverage Shop,3.3,7,250.0,No,No,"Beverages, Juices",Whitefield,Whitefield,23.099999999999998
Fresh Bites,Quick Bites,3.3,16,400.0,Yes,No,"Italian, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,52.8
Fresh Bowl,Quick Bites,3.3,4,400.0,No,No,"Chinese, North Indian, Fast Food",Old Airport Road,Old Airport Road,13.2
Fresh Dinner,"Takeaway, Delivery",3.1,105,500.0,Yes,No,"North Indian, Biryani",Bannerghatta Road,Bannerghatta Road,325.5
Fresh Kitchen,Casual Dining,3.3,22,600.0,Yes,No,"North Indian, Chinese",JP Nagar,Bannerghatta Road,72.6
Fresh Lemon Soda,Beverage Shop,3.1,5,150.0,No,No,"Beverages, Street Food",Bannerghatta Road,Bannerghatta Road,15.5
Fresh 'N' Grills,"Takeaway, Delivery",3.2,234,500.0,Yes,No,"Sandwich, Salad, North Indian, Chinese",Electronic City,Electronic City,748.8000000000001
Fresh Pressery Cafe,Cafe,4.1,137,1200.0,Yes,No,"Cafe, Healthy Food, Salad, Beverages, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,561.6999999999999
Fresh Veg,Quick Bites,2.7,93,300.0,Yes,No,"Street Food, North Indian",Malleshwaram,New BEL Road,251.10000000000002
FreshEats,Food Truck,3.6,14,400.0,No,No,"Continental, North Indian, Thai",Whitefield,East Bangalore,50.4
Freshies Gourmet Salads,Quick Bites,3.1,32,350.0,Yes,No,"Salad, Healthy Food",Sarjapur Road,Bellandur,99.2
Freshkhilao,Casual Dining,3.3,379,750.0,Yes,No,"Chinese, North Indian, Biryani, Juices",Whitefield,Brookefield,1250.7
Freshkicho,Delivery,2.8,40,200.0,No,No,"North Indian, South Indian, Chinese",Bellandur,Bellandur,112.0
FreshMenu,Delivery,2.8,132,450.0,Yes,No,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Marathahalli,East Bangalore,369.59999999999997
FreshPhulka,Quick Bites,3.8,24,150.0,Yes,No,North Indian,HSR,HSR,91.19999999999999
Freskka,Casual Dining,4.0,702,700.0,Yes,No,"Italian, American, Asian, Continental, Mexican, Momos",Malleshwaram,New BEL Road,2808.0
Friend's Cafe,Quick Bites,3.9,551,600.0,Yes,No,"Fast Food, American, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,2148.9
Friends Chats Adda,Quick Bites,2.8,40,200.0,No,No,"Fast Food, Sandwich, Beverages","Byresandra,Tavarekere,Madiwala",BTM,112.0
Friends Diner,Casual Dining,2.8,36,700.0,No,No,"Continental, Italian, Pizza",Whitefield,Whitefield,100.8
Friend's Kitchen,Quick Bites,3.5,10,150.0,No,No,"South Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,35.0
Friends Night Kitchen,"Takeaway, Delivery",3.8,109,400.0,Yes,No,"Italian, Pizza",Brigade Road,Koramangala 6th Block,414.2
Friend's Own,Quick Bites,3.2,55,300.0,Yes,No,"North Indian, Bengali, Chinese",Whitefield,Whitefield,176.0
Friendz Zone,Quick Bites,3.6,39,400.0,No,No,"North Indian, Street Food",Whitefield,Whitefield,140.4
Fritz Haber,Delivery,3.3,5,400.0,Yes,No,"Ice Cream, Desserts","Byresandra,Tavarekere,Madiwala",South Bangalore,16.5
Frolic,Dessert Parlor,3.9,33,200.0,Yes,No,"Juices, Ice Cream","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,128.7
Frootality,"Beverage Shop, Quick Bites",4.0,213,400.0,No,No,"Healthy Food, Beverages",Indiranagar,Indiranagar,852.0
FrostBite,"Dessert Parlor, Quick Bites",3.5,15,400.0,No,No,"Desserts, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,52.5
Frosted Memories,Bakery,4.0,34,200.0,No,No,Bakery,New BEL Road,Hebbal,136.0
Frosting Flavours,Dessert Parlor,3.8,54,150.0,No,No,Desserts,Whitefield,Whitefield,205.2
Froststicks,Food Court,3.8,43,150.0,No,No,"Desserts, Ice Cream",Malleshwaram,Malleshwaram,163.4
Frosty Bite,Beverage Shop,3.3,8,150.0,Yes,No,"Beverages, Juices",Rajajinagar,Vijay Nagar,26.4
Frosty Creams,Food Truck,3.7,13,300.0,No,No,"Ice Cream, Desserts",Bannerghatta Road,South Bangalore,48.1
Frosty Fills,Quick Bites,2.8,40,250.0,Yes,No,"Desserts, Ice Cream",Bellandur,Bellandur,112.0
Frozen Bottle,Beverage Shop,2.8,40,400.0,Yes,No,"Beverages, Desserts",HSR,Sarjapur Road,112.0
Frozen Coast,Dessert Parlor,3.9,107,250.0,No,No,"Desserts, Ice Cream",Malleshwaram,Malleshwaram,417.3
Frozenheit?,Dessert Parlor,4.0,154,500.0,Yes,No,Ice Cream,Malleshwaram,Rajajinagar,616.0
Fruit Ball,Beverage Shop,2.8,40,150.0,No,No,"Juices, Sandwich",HSR,HSR,112.0
Fruit Face,"Quick Bites, Beverage Shop",3.6,21,300.0,Yes,No,"Fast Food, Street Food, Beverages",Brigade Road,Indiranagar,75.60000000000001
FRYBIES,Quick Bites,3.3,15,350.0,Yes,No,Fast Food,Bannerghatta Road,Bannerghatta Road,49.5
FTB Restaurant,"Takeaway, Delivery",2.8,40,500.0,Yes,No,"North Indian, Bengali, Chinese, Seafood",Indiranagar,Thippasandra,112.0
Fudge,Dessert Parlor,3.2,12,200.0,Yes,No,"Desserts, Momos",Basavanagudi,Jayanagar,38.400000000000006
Fudgy Love Designer Cakes,"Bakery, Dessert Parlor",3.7,20,600.0,No,No,"Bakery, Desserts",Indiranagar,Domlur,74.0
Fuel Resto Bar,Bar,4.2,38,2000.0,No,No,"Finger Food, Mediterranean, North Indian",Brigade Road,Richmond Road,159.6
Fujan,Casual Dining,3.6,54,600.0,Yes,No,"Chinese, Thai, Seafood",Brigade Road,Frazer Town,194.4
Fujian Express,Food Court,3.3,23,600.0,Yes,No,"Thai, Chinese, Momos",Malleshwaram,Yeshwantpur,75.89999999999999
Fullyfilled,Quick Bites,4.0,48,200.0,Yes,No,"Fast Food, Chinese, Lebanese",MG Road,Indiranagar,192.0
Fun Kitchen,Quick Bites,3.6,103,400.0,Yes,No,"North Indian, Chinese, Fast Food",Sarjapur Road,HSR,370.8
Funjabi,Casual Dining,3.5,140,600.0,No,No,North Indian,Lavelle Road,Church Street,490.0
Funjabi Curries,Quick Bites,2.9,11,500.0,Yes,No,North Indian,Banashankari,Banashankari,31.9
Funky Punjab,Casual Dining,3.9,407,500.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,JP Nagar,1587.3
Fusion Lounge,Lounge,2.0,395,1500.0,No,No,Finger Food,Brigade Road,Brigade Road,790.0
Fusion Panda,"Casual Dining, Quick Bites",3.5,10,300.0,Yes,No,"North Indian, Kebab",Brookefield,Whitefield,35.0
Fusion Tadka,Delivery,3.7,34,450.0,Yes,No,"North Indian, Chinese",Bellandur,Bellandur,125.80000000000001
Fusion Theory,Casual Dining,2.8,40,700.0,No,Yes,"Chinese, Continental, North Indian, South Indian, Beverages",Basavanagudi,Jayanagar,112.0
G Resto Cafe,Cafe,3.3,4,400.0,No,No,"Cafe, Fast Food, Beverages",Koramangala 4th Block,Koramangala 4th Block,13.2
G. P. S. Kaapi Thindi,Quick Bites,3.5,14,150.0,No,No,Street Food,Malleshwaram,Malleshwaram,49.0
G8 Punjabi Tadka,Quick Bites,3.7,15,200.0,No,No,North Indian,New BEL Road,New BEL Road,55.5
Galaxy 2 Restaurant,Quick Bites,3.2,4,400.0,No,No,"North Indian, Chinese, Kerala, Arabian",Brigade Road,Shivajinagar,12.8
Gali Parathae Wali,Quick Bites,3.7,95,400.0,Yes,No,"North Indian, Chinese, Street Food, Sandwich",Whitefield,Whitefield,351.5
Galito's,Casual Dining,4.5,414,1000.0,Yes,No,"African, Burger",Jayanagar,Bannerghatta Road,1863.0
Galli Belly,Quick Bites,3.4,8,200.0,Yes,No,"Sandwich, Rolls",Indiranagar,Domlur,27.2
Gallop Bar - Davanam Sarovar Portico Suites,Lounge,3.5,8,1600.0,No,No,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block,28.0
Gallops,Lounge,3.6,31,1400.0,No,No,"Chinese, Continental, North Indian",Frazer Town,Frazer Town,111.60000000000001
Gama Gama,Quick Bites,3.9,264,200.0,Yes,No,South Indian,Banashankari,Banashankari,1029.6
Game Of Pizzas,Delivery,3.6,16,500.0,No,No,Italian,Koramangala 4th Block,Koramangala 4th Block,57.6
Game Of Tandoors,Quick Bites,3.7,241,400.0,Yes,No,"North Indian, Rolls",Brookefield,Marathahalli,891.7
Gam's Delicacy,Casual Dining,3.2,6,800.0,No,No,"North Indian, Chinese, Assamese",JP Nagar,JP Nagar,19.200000000000003
Ganache - The Ritz-Carlton,Dessert Parlor,3.9,49,600.0,No,No,Bakery,Brigade Road,Residency Road,191.1
Gandharva Family Restaurant,Casual Dining,3.6,36,900.0,No,No,"North Indian, Chinese",Basavanagudi,Basavanagudi,129.6
Ganesh Bhavan,Quick Bites,4.0,69,200.0,Yes,No,South Indian,Brookefield,Brookefield,276.0
Ganesh Chats,Quick Bites,3.7,8,100.0,No,No,"Street Food, Fast Food",Basavanagudi,Basavanagudi,29.6
Ganesh Darshini,Quick Bites,3.7,286,150.0,No,No,"South Indian, Fast Food",Rajajinagar,Malleshwaram,1058.2
Ganesh Food Joint,Quick Bites,2.8,40,200.0,Yes,No,"South Indian, Chinese",Kalyan Nagar,Nagawara,112.0
Ganesh Grand,Quick Bites,3.7,30,300.0,Yes,No,"South Indian, North Indian, Desserts",Banashankari,Basavanagudi,111.0
Ganesh Restaurant,Quick Bites,3.7,51,300.0,Yes,No,"Chinese, Street Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,188.70000000000002
Ganga Foods,Quick Bites,3.5,17,200.0,Yes,No,"South Indian, Chinese",Brookefield,Marathahalli,59.5
Ganga Sagar,Quick Bites,3.1,12,150.0,No,No,Street Food,Rajajinagar,Rajajinagar,37.2
Gangothri Kabab Corner,Quick Bites,3.1,18,400.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM,55.800000000000004
Gangothri Veg Restaurant,Quick Bites,3.7,93,300.0,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,344.1
Gangotree,Quick Bites,3.8,50,150.0,No,No,Street Food,Church Street,Race Course Road,190.0
Gappe,Kiosk,3.8,32,200.0,Yes,No,Street Food,Bannerghatta Road,Bannerghatta Road,121.6
Garage Food Company,Quick Bites,2.8,40,400.0,Yes,No,"Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,112.0
Garage Pizza,Quick Bites,3.2,4,400.0,No,No,Pizza,Basavanagudi,Basavanagudi,12.8
Garden City Mobile Biryani,Food Truck,2.8,40,200.0,No,No,Biryani,Rajajinagar,West Bangalore,112.0
Garden Fresh,Beverage Shop,3.9,50,200.0,Yes,No,"Healthy Food, Juices",Bannerghatta Road,BTM,195.0
Garden Hotel,Quick Bites,2.8,40,400.0,No,No,"North Indian, Chinese, South Indian",Koramangala 4th Block,Koramangala 1st Block,112.0
Garden Kabab Corner,Quick Bites,3.4,7,200.0,Yes,No,"North Indian, Chinese",Malleshwaram,Yeshwantpur,23.8
Garma Garam,Quick Bites,3.2,144,350.0,Yes,No,"North Indian, Chinese, Biryani, Rolls",Bannerghatta Road,Bannerghatta Road,460.8
Gaura's Secret Recipe,Delivery,3.8,31,250.0,Yes,No,"North Indian, Gujarati, Rajasthani",Brookefield,Marathahalli,117.8
Gavran Misal,Quick Bites,2.8,40,250.0,Yes,No,Street Food,HSR,HSR,112.0
Geetha Cafe,Quick Bites,3.0,12,200.0,No,No,South Indian,HSR,Bommanahalli,36.0
Gelato Italiano,Dessert Parlor,2.9,17,200.0,Yes,No,"Ice Cream, Bakery, Desserts",Church Street,Ulsoor,49.3
Gelato Pazzo,Dessert Parlor,3.8,47,200.0,No,No,Desserts,"Byresandra,Tavarekere,Madiwala",BTM,178.6
GET ur FIX @ Chote Miya,Quick Bites,3.3,4,300.0,No,No,Fast Food,New BEL Road,New BEL Road,13.2
Ghar Ka Bhojan,Delivery,3.3,7,200.0,No,No,"North Indian, Healthy Food",MG Road,Domlur,23.099999999999998
Ghar Ka Chulha,Casual Dining,3.1,117,550.0,Yes,No,"North Indian, Chinese",Bellandur,Sarjapur Road,362.7
Ghar Ka Khana,Quick Bites,3.7,95,150.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,351.5
Ghar Ki Rasoi,Casual Dining,3.7,50,500.0,Yes,No,North Indian,Bellandur,Bellandur,185.0
Gharelu Zaika,Delivery,3.7,22,250.0,Yes,No,North Indian,Bannerghatta Road,JP Nagar,81.4
Ghee Biryani House,Quick Bites,3.1,7,400.0,Yes,No,"North Indian, Biryani, Chinese, Arabian","Byresandra,Tavarekere,Madiwala",BTM,21.7
Ghee Biryanis,"Takeaway, Delivery",3.4,137,500.0,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,465.8
Ghee Positive,Quick Bites,3.8,48,300.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 8th Block,182.39999999999998
Ghee Rice Family Restaurant,Casual Dining,3.3,16,600.0,No,No,"North Indian, Chinese, Biryani",Jayanagar,Wilson Garden,52.8
Gilly's Restobar,"Pub, Casual Dining",4.3,1249,1200.0,No,Yes,"Continental, North Indian, Chinese, Salad",Electronic City,Electronic City,5370.7
Ging - Royal Orchid Central,"Bar, Casual Dining",4.2,222,2000.0,Yes,Yes,Asian,Indiranagar,MG Road,932.4000000000001
Ginger,Quick Bites,3.6,159,350.0,Yes,No,"North Indian, Chinese",Malleshwaram,Sanjay Nagar,572.4
Ginger & Garlic,Quick Bites,3.6,92,350.0,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield,331.2
Ginger Greens,Casual Dining,3.9,300,750.0,No,Yes,"Andhra, Chinese, North Indian",Kalyan Nagar,Kalyan Nagar,1170.0
Ginger Mint,Casual Dining,3.0,5,600.0,Yes,No,"North Indian, South Indian, Chinese",Brookefield,Marathahalli,15.0
Ginseng - Royal Orchid Hotel,Fine Dining,3.9,172,1900.0,No,Yes,"Chinese, Thai, Asian",Old Airport Road,Old Airport Road,670.8
Giselle Resto Cafe,Cafe,4.1,836,800.0,Yes,Yes,"Cafe, Italian, Pizza, Beverages, Desserts",Frazer Town,Kammanahalli,3427.6
Give Me 5 Cafe,Cafe,3.3,90,500.0,No,No,"Cafe, Healthy Food",MG Road,Indiranagar,297.0
GKT Biryani World,Quick Bites,3.7,83,350.0,Yes,No,"Biryani, Italian, BBQ","Byresandra,Tavarekere,Madiwala",HSR,307.1
Glacier - Citrine Hotel,Bar,3.6,27,1000.0,No,No,"Finger Food, North Indian, Chinese",Malleshwaram,Seshadripuram,97.2
Glassy,Club,4.2,707,1400.0,No,Yes,"North Indian, Chinese",Bellandur,Bellandur,2969.4
Glen's Bakehouse,"Bakery, Cafe",4.2,794,600.0,Yes,Yes,"Bakery, Cafe, Italian, Desserts",Brookefield,Whitefield,3334.8
Global Flavors,Casual Dining,3.5,131,1000.0,Yes,Yes,"North Indian, Fast Food, Beverages",Kalyan Nagar,Banaswadi,458.5
GMT - Gelateria Montecatini Terme,Dessert Parlor,4.4,275,300.0,Yes,No,"Desserts, Ice Cream",Indiranagar,Indiranagar,1210.0
