restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,Popularity Score
Aniram's,Delivery,4.1,739,500.0,Yes,No,"Chinese, North Indian",Bannerghatta Road,JP Nagar,3029.8999999999996
Anjappaar,Casual Dining,3.9,96,650.0,No,No,"Chettinad, South Indian",Marathahalli,Marathahalli,374.4
Anjappar,Casual Dining,2.7,40,650.0,No,No,"Chettinad, South Indian",Jayanagar,JP Nagar,108.0
Anju's Cafe,Cafe,3.4,6,600.0,No,No,"Cafe, North Indian",Bannerghatta Road,JP Nagar,20.4
Anna Kuteera,Casual Dining,3.8,62,400.0,No,No,"South Indian, North Indian, Chinese",Residency Road,St. Marks Road,235.6
Annabell,"Quick Bites, Beverage Shop",4.0,264,700.0,Yes,No,"Continental, Beverages",Indiranagar,Indiranagar,1056.0
Annalakshmi,Casual Dining,3.5,28,700.0,No,No,"Andhra, Chettinad",Bellandur,Bellandur,98.0
Annapoorani,Casual Dining,3.9,434,400.0,No,No,South Indian,Indiranagar,Indiranagar,1692.6
Annapoorni Grand,Casual Dining,3.9,82,450.0,No,No,"Chinese, South Indian, North Indian",Lavelle Road,Majestic,319.8
Annappa's Naati Mane,Quick Bites,3.5,73,400.0,No,No,"South Indian, Chinese",Rajajinagar,Rajajinagar,255.5
Annapurna Andhra Hotel,Quick Bites,3.3,5,400.0,Yes,No,"Mughlai, Chinese, North Indian",Electronic City,Electronic City,16.5
Annapurna Bengali Restaurant,Casual Dining,3.9,50,500.0,No,No,Bengali,Brookefield,Whitefield,195.0
Annapurna Benne Dose,Quick Bites,2.8,40,200.0,Yes,No,South Indian,JP Nagar,JP Nagar,112.0
Annapurna Foods,Casual Dining,3.5,11,400.0,Yes,No,"North Indian, Chinese, Hyderabadi",Bellandur,Bellandur,38.5
Antarastriya,Quick Bites,3.9,461,200.0,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Malleshwaram,1797.8999999999999
ANTIGRAVITY,"Pub, Casual Dining",4.4,730,1500.0,No,Yes,"Continental, North Indian, Chinese, BBQ",Marathahalli,Marathahalli,3212.0000000000005
Antilla Aromas,Dessert Parlor,3.7,18,300.0,Yes,No,"Desserts, Ice Cream",Bannerghatta Road,Bannerghatta Road,66.60000000000001
Anu Momos Chinese Kitchen,Quick Bites,3.7,118,450.0,Yes,No,"Chinese, Thai, Momos",Kalyan Nagar,Kammanahalli,436.6
Anupam's Coast II Coast,Casual Dining,4.1,841,700.0,Yes,No,"Seafood, Mangalorean, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,3448.1
Anupam's Coastal Express,Casual Dining,4.1,179,600.0,Yes,No,"Seafood, Mangalorean, South Indian",Basavanagudi,Shanti Nagar,733.9
Anushka Restaurant,Casual Dining,2.8,40,550.0,Yes,No,"North Indian, Chinese",Brookefield,Whitefield,112.0
Apna Hotel,Quick Bites,3.5,26,300.0,Yes,No,"North Indian, Hyderabadi",Brookefield,Whitefield,91.0
Apna Punjab,Quick Bites,3.6,474,450.0,Yes,No,"North Indian, Chinese, Fast Food",Bannerghatta Road,BTM,1706.4
Apna Veg Dhaba,Casual Dining,3.1,35,400.0,Yes,No,"North Indian, Chinese",Bellandur,Bellandur,108.5
Apoorva Multi Cuisine Restaurant,Casual Dining,3.9,236,750.0,Yes,No,"North Indian, South Indian, Chinese, Andhra, Biryani",Brookefield,Brookefield,920.4
Appam & Curry,Quick Bites,3.8,18,200.0,Yes,No,"Kerala, South Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,68.39999999999999
