restaurant type,Avg_Rating
Fine Dining,4.116455696202531
"Casual Dining, Cafe",4.0280000000000005
"Pub, Casual Dining",4.008
"Bar, Casual Dining",3.9075471698113207
"Casual Dining, Bar",3.8743801652892564
Lounge,3.8137931034482757
Pub,3.7823529411764705
Cafe,3.6936708860759495
Bar,3.6790123456790123
Casual Dining,3.5946913580246913
